"castid","repoid","target","source","qltag","link","value"
"6799412",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/spi/src/main/java/org/restcomm/media/spi/dtmf/DtmfTonesData.java?#L62","#Literal:IntToByteArray,@gen"
"3088910",3200,"String","Object","InstanceOfGuarded","https://lgtm.com/projects/g/SonarSource/sonarqube/snapshot/dist-1506176517156-1524814812150/files/sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Rules.java?#L9675","#GuardByInstanceOf:single,@gen"
"7411247",6817,"String","Object","RefCast","https://lgtm.com/projects/g/apache/phoenix/snapshot/dist-7900376-1524814812150/files/phoenix-core/src/main/java/org/apache/phoenix/coprocessor/generated/PFunctionProtos.java?#L1137","#GuardByInstanceOf:single,@gen"
"7154488",6776,"T","Object","RefCast","https://lgtm.com/projects/g/apache/karaf/snapshot/dist-13960098-1524814812150/files/specs/java.xml.ws/src/main/java/javax/xml/soap/$FactoryFinder.java?#L76","#NewDynamicInstance,@src"
"340200",317,"Class<>","Object","RemoveTypeParameter","https://lgtm.com/projects/g/googleads/googleads-java-lib/snapshot/dist-44920018-1524814812150/files/modules/dfp_axis/src/main/java/com/google/api/ads/dfp/axis/v201802/NetworkServiceSoapBindingStub.java?#L592","#UseRawType,@src"
"1988717",1738,"ObjectProperty<Effect>","Property<>","Cast","https://lgtm.com/projects/g/JFXtras/jfxtras-labs/snapshot/dist-1793850269-1524814812150/files/src/main/java/jfxtras/labs/scene/control/gauge/ContentBuilder.java?#L355","#GuardByTypeTag,@src"
"2776450",2702,"byte","int","SearchOrFilterByType","https://lgtm.com/projects/g/WhisperSystems/libsignal-service-java/snapshot/dist-2038500927-1524814812150/files/java/src/main/java/org/whispersystems/signalservice/internal/push/PushTransportDetails.java?#L29","#Literal:IntToByte,@src"
"4797544",4664,"KItem","Term","SearchOrFilterByType","https://lgtm.com/projects/g/kframework/k/snapshot/dist-41930077-1524814812150/files/java-backend/src/main/java/org/kframework/backend/java/kil/BuiltinSet.java?#L204","#GuardByInstanceOf:single,@src"
"5369114",5272,"ClassLoader","Object","Redundant","https://lgtm.com/projects/g/robovm/robovm/snapshot/dist-39650108-1524814812150/files/rt/libcore/luni/src/main/java/org/xml/sax/helpers/NewInstance.java?#L70","#ReflectiveAccessibility,@src"
"2635695",2463,"TypeNode","TypeNode","ClassFamily","https://lgtm.com/projects/g/gravel-st/gravel/snapshot/dist-65220017-1524814812150/files/src/main/java/st/gravel/support/compiler/ast/BlockNode.java?#L296","#Family,@src"
"7535572",6822,"byte","int","PrimCast","https://lgtm.com/projects/g/apache/cloudstack/snapshot/dist-14050053-1524814812150/files/services/console-proxy-rdp/rdpconsole/src/main/java/rdpclient/rdp/ClientConfirmActivePDU.java?#L535","#Literal:IntToByteArray,@gen"
"2784057",2706,"Predicate_Type","TOP_Type","Cast","https://lgtm.com/projects/g/ClearTK/cleartk/snapshot/dist-1790746773-1524814812150/files/cleartk-type-system/target/generated-sources/jcasgen/org/cleartk/srl/type/Predicate.java?#L121","#GuardByTypeTag,@src"
"2354935",2229,"ExpressionTree","Tree","InstanceOfGuarded","https://lgtm.com/projects/g/google/error-prone/snapshot/dist-27820007-1524814812150/files/core/src/main/java/com/google/errorprone/refaster/PlaceholderUnificationVisitor.java?#L189","#GuardByInstanceOf:typecase,@src"
"8233875",6891,"String","String","RefCast","https://lgtm.com/projects/g/apache/manifoldcf/snapshot/dist-12140003-1524814812150/files/connectors/webcrawler/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/webcrawler/FormParseState.java?#L67","#LookupById,@src"
"6573285",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L5984","#Literal:IntToByteArray,@gen"
"4950158",4917,"Number","Object","RefCast","https://lgtm.com/projects/g/druid-io/druid/snapshot/dist-44060034-1524814812150/files/processing/src/main/java/io/druid/query/aggregation/post/DoubleLeastPostAggregator.java?#L86","#KnownReturnType,@src"
"3317946",3525,"int","byte","Cast","https://lgtm.com/projects/g/alibaba/jstorm/snapshot/dist-10150055-1524814812150/files/jstorm-core/src/main/java/com/alibaba/jstorm/metric/Bytes.java?#L815","#Numeric,@src"
"7707531",6842,"STLineEndLength","TypeStoreUser","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/drawingml/x2006/main/impl/CTLineEndPropertiesImpl.java?#L286","#LookupById,@gen"
"5451919",5294,"EList<UserRelated>","Object","RefCast","https://lgtm.com/projects/g/opensourceBIM/BIMserver/snapshot/dist-44770082-1524814812150/files/PluginBase/generated/org/bimserver/models/store/impl/UserImpl.java?#L408","#LookupById,@gen"
"7921216",6852,"byte","int","PrimCast","https://lgtm.com/projects/g/apache/tika/snapshot/dist-12170063-1524814812150/files/tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetRecog_sbcs.java?#L599","#Literal:IntToByteArray,@gen"
"6541906",6481,"byte","int","Cast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L3831","#Literal:IntToByteArray,@gen"
