"","repoid","s","t","pattern","link"
"8247068",6894,"byte","int","Cast","https://lgtm.com/projects/g/apache/oltu/snapshot/dist-1796201544-1524814812150/files/jose/jws/src/test/java/org/apache/oltu/jose/jws/signature/impl/SignatureMethodRSAImplTest.java?#L106"
"8878650",7476,"ReferenceInstruction","Instruction","RefCast","https://lgtm.com/projects/g/JesusFreke/smali/snapshot/dist-1306230039-1524814812150/files/dexlib2/src/main/java/org/jf/dexlib2/analysis/AnalyzedInstruction.java?#L322"
"6076988",5940,"Chest","BlockState","Cast","https://lgtm.com/projects/g/eccentricdevotion/TARDIS/snapshot/dist-11080021-1524814812150/files/src/main/java/me/eccentric_nz/TARDIS/destroyers/TARDISDestroyerInner.java?#L168"
"4705726",4535,"String","Object","Cast","https://lgtm.com/projects/g/sjvs/ondersteunende-software-verkiezingen/snapshot/dist-1506089886382-1524814812150/files/osv45/gensrc/de/ivu/wahl/modell/ejb/BasicErgebniseingangBean.java?#L720"
"661317",709,"List<?>","?","RefCast","https://lgtm.com/projects/g/spring-projects/spring-integration/snapshot/dist-22780025-1524814812150/files/spring-integration-core/src/test/java/org/springframework/integration/aggregator/integration/AggregatorSupportedUseCasesTests.java?#L59"
"2617040",2436,"TypeSpec","Object","InstanceOfGuarded","https://lgtm.com/projects/g/square/javapoet/snapshot/dist-27081333-1524814812150/files/src/main/java/com/squareup/javapoet/CodeWriter.java?#L337"
"5527435",5429,"Button","View","Cast","https://lgtm.com/projects/g/marzika/Snapprefs/snapshot/dist-2032970277-1524814812150/files/app/src/main/java/com/marz/snapprefs/Fragments/ActivateFragment.java?#L203"
"5819272",5631,"short","int","Cast","https://lgtm.com/projects/g/lessthanoptimal/BoofCV/snapshot/dist-1790760503-1524814812150/files/main/boofcv-ip/src/main/java/boofcv/alg/filter/convolve/down/ConvolveDownNoBorderUnrolled_S16_I16_Div.java?#L461"
"7588769",6834,"RawTransaction","RawTransaction","ClassFamily","https://lgtm.com/projects/g/apache/derby/snapshot/dist-1799222346-1524814812150/files/java/engine/org/apache/derby/impl/store/raw/data/StoredPage.java?#L6773"
"3797334",3647,"T","HeadersProviderFrameBuilder<>","RefCast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/http-servlet/src/main/java/org/glassfish/grizzly/spdy/frames/HeadersProviderFrame.java?#L107"
"385468",416,"int","long","PrimCast","https://lgtm.com/projects/g/debrief/debrief/snapshot/dist-22620014-1524814812150/files/org.eclipse.nebula.cwt/src/org/eclipse/nebula/cwt/animation/effects/Resize.java?#L59"
"565024",553,"Pin","Item","Cast","https://lgtm.com/projects/g/freerouting/freerouting/snapshot/dist-1798049198-1524814812150/files/src/interactive/Route.java?#L323"
"1472244",1347,"ByteBuffer","Object","RefCast","https://lgtm.com/projects/g/larsgeorge/hbase-book/snapshot/dist-1798110731-1524814812150/files/ch13/src/main/java/org/apache/hadoop/hbase/thrift2/generated/TDelete.java?#L459"
"1177973",1161,"Symbol","Object","Redundant","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/compiler/ast/parser/php55/CompilerAstParser.java?#L8105"
"3712745",3647,"Cacheable","R","Stash","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/http-all/src/main/java/org/glassfish/grizzly/impl/UnsafeFutureImpl.java?#L256"
"2920213",2932,"int","long","Cast","https://lgtm.com/projects/g/nutzam/nutz/snapshot/dist-12180019-1524814812150/files/src/org/nutz/dao/util/blob/SimpleClob.java?#L46"
"5229843",5110,"ProcessorRequest","Message","InstanceOfGuarded","https://lgtm.com/projects/g/yamcs/yamcs/snapshot/dist-3960331-1524814812150/files/yamcs-api/src/main/java/org/yamcs/protobuf/YamcsManagement.java?#L21136"
"3807264",3647,"IndexedAttributeHolder","AttributeHolder","Cast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/websockets/src/main/java/org/glassfish/grizzly/attributes/IndexedAttributeHolder.java?#L211"
"409499",416,"short","int","Cast","https://lgtm.com/projects/g/debrief/debrief/snapshot/dist-22620014-1524814812150/files/org.mwc.debrief.dis/src/edu/nps/moves/dis7/BlankingSector.java?#L220"
"2538330",2407,"AnimGameItem","GameItem","Cast","https://lgtm.com/projects/g/lwjglgamedev/lwjglbook/snapshot/dist-4840356-1524814812150/files/chapter19/c19-p3/src/main/java/org/lwjglb/engine/graph/Renderer.java?#L257"
"6232138",6077,"byte","int","Cast","https://lgtm.com/projects/g/open-keychain/open-keychain/snapshot/dist-1868330398-1524814812150/files/extern/bouncycastle/core/src/main/java/org/bouncycastle/crypto/engines/IESEngine.java?#L305"
"2747258",2682,"URLSpan","ClickableSpan","Cast","https://lgtm.com/projects/g/seven332/Nimingban/snapshot/dist-1506180917302-1524814812150/files/app/src/main/java/com/hippo/nimingban/ui/fragment/PostFragment.java?#L513"
"4459587",4242,"SimpleValue","Value","ClassFamily","https://lgtm.com/projects/g/ManyDesigns/Portofino/snapshot/dist-1789852518-1524814812150/files/portofino-database/src/main/java/com/manydesigns/portofino/persistence/hibernate/HibernateConfig.java?#L398"
"6282274",6152,"ConvolutionLayer","Layer","ClassFamily","https://lgtm.com/projects/g/deeplearning4j/deeplearning4j/snapshot/dist-1259200015-1524814812150/files/deeplearning4j-core/src/test/java/org/deeplearning4j/nn/conf/preprocessor/TestPreProcessors.java?#L218"
"7686402",6842,"XmlString","XmlAnySimpleType","ClassFamily","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/drawingml/x2006/diagram/impl/CTDiagramDefinitionImpl.java?#L939"
"6588759",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L7044"
"3151073",3231,"SwtButton","XulComponent","Redundant","https://lgtm.com/projects/g/pentaho/pentaho-kettle/snapshot/dist-1815472020-1524814812150/files/ui/src/main/java/org/pentaho/di/ui/core/database/dialog/XulDatabaseExplorerController.java?#L115"
"250807",252,"JETAColorWell","Component","RefCast","https://lgtm.com/projects/g/RPTools/maptool/snapshot/dist-22700075-1524814812150/files/maptool/src/main/java/net/rptools/maptool/client/ui/campaignproperties/TokenStatesController.java?#L435"
"3355985",3540,"T2","ModelItem","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/src/main/java/com/eviware/soapui/support/dnd/handlers/AbstractModelItemDropHandler.java?#L177"
"7062566",6763,"DataArrayResponse","Response","Testing","https://lgtm.com/projects/g/apache/activemq/snapshot/dist-11730660-1524814812150/files/activemq-unit-tests/src/test/java/org/apache/activemq/broker/XARecoveryBrokerTest.java?#L1047"
"640179",671,"OnClickListener","Object","Cast","https://lgtm.com/projects/g/IamXiaRui/Android_5.0_ViewDemo/snapshot/dist-2034040530-1524814812150/files/DataBindingDemo/build/generated/source/apt/release/com/databinding/databinding/LayoutButtonBinding.java?#L55"
"8690670",7211,"Builder","Builder","RefCast","https://lgtm.com/projects/g/sjchat/sjchat/snapshot/dist-1506199506627-1524814812150/files/message-service/target/generated-sources/protobuf/java/sjchat/users/User.java?#L384"
"5406215",5294,"Long","Object","RefCast","https://lgtm.com/projects/g/opensourceBIM/BIMserver/snapshot/dist-44770082-1524814812150/files/PluginBase/generated/org/bimserver/models/ifc2x3tc1/impl/IfcDaylightSavingHourImpl.java?#L90"
"2526519",2384,"Bools","Object","Cast","https://lgtm.com/projects/g/Microsoft/thrifty/snapshot/dist-18770131-1524814812150/files/thrifty-test-server/src/main/java/com/microsoft/thrifty/test/gen/LargeDeltas.java?#L571"
